ip,alert_count,directions,unique_signatures,unique_categories,critical_severity,top_signature,top_category,top_local_peers,first_seen,last_seen,vt_lookup_status,vt_malicious,vt_suspicious,vt_harmless,vt_undetected,vt_reputation,vt_country,vt_as_owner,vt_network,vt_tags,vt_error,risk_score,risk_level
172.217.5.74,1,outbound,1,1,1,ET POLICY Outdated Flash Version M2,Potential Corporate Privacy Violation,10.47.5.151,2018-03-23 14:09:08.995156-06:00,2018-03-23 14:09:08.995156-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,medium
204.79.197.200,1,outbound,1,1,1,ET CURRENT_EVENTS SUSPICIOUS Possible CVE-2017-0199 IE7/NoCookie/Referer HTA dl,Attempted User Privilege Gain,10.47.25.25,2018-03-23 17:35:03.761270-06:00,2018-03-23 17:35:03.761270-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,medium
104.17.60.19,1,outbound,1,1,1,ET MALWARE Lavasoft PUA/Adware Client Install,A Network Trojan was detected,10.47.1.155,2018-03-24 11:47:33.922944-06:00,2018-03-24 11:47:33.922944-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,medium
198.54.117.200,1,outbound,1,1,1,ET CNC Zeus Tracker Reported CnC Server group 11,A Network Trojan was detected,10.47.46.200,2018-03-24 14:54:45.803406-06:00,2018-03-24 14:54:45.803406-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,medium
192.16.10.154,1,outbound,1,1,2,ET SCAN Potential SSH Scan OUTBOUND,Attempted Information Leak,10.47.5.154,2018-03-23 14:10:08.763007-06:00,2018-03-23 14:10:08.763007-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
104.27.193.92,1,outbound,1,1,2,ET POLICY IP Check Domain (whatismyip in HTTP Host),Attempted Information Leak,10.47.5.153,2018-03-23 15:09:23.303672-06:00,2018-03-23 15:09:23.303672-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
104.25.36.116,1,outbound,1,1,2,ET POLICY curl User-Agent Outbound,Attempted Information Leak,10.10.11.2,2018-03-23 20:04:01.795711-06:00,2018-03-23 20:04:01.795711-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
216.105.38.10,1,outbound,1,1,2,ET POLICY libwww-perl User-Agent,Attempted Information Leak,10.47.8.155,2018-03-23 12:04:14.011613-06:00,2018-03-23 12:04:14.011613-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
91.189.91.23,1,outbound,1,1,2,ET POLICY Python-urllib/ Suspicious User Agent,Attempted Information Leak,10.47.6.154,2018-03-23 14:16:54.720964-06:00,2018-03-23 14:16:54.720964-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
52.85.85.68,1,inbound,1,1,2,ET POLICY Executable served from Amazon S3,Potentially Bad Traffic,10.47.1.152,2018-03-23 15:15:05.459846-06:00,2018-03-23 15:15:05.459846-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
193.0.14.129,1,outbound,1,1,2,ET DNS Query to a *.pw domain - Likely Hostile,Potentially Bad Traffic,10.47.23.25,2018-03-23 21:09:31.918692-06:00,2018-03-23 21:09:31.918692-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
104.238.188.98,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 91,Misc Attack,10.47.23.81,2018-03-24 18:30:30.389928-06:00,2018-03-24 18:30:30.389928-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
128.199.55.207,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 115,Misc Attack,10.47.44.68,2018-03-24 15:36:45.394888-06:00,2018-03-24 15:36:45.394888-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
131.188.40.189,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 120,Misc Attack,10.47.44.68,2018-03-24 15:36:42.342946-06:00,2018-03-24 15:36:42.342946-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
144.76.14.145,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 141,Misc Attack,10.47.44.68,2018-03-24 16:17:56.115842-06:00,2018-03-24 16:17:56.115842-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
144.76.96.7,1,inbound,1,1,2,ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 143,Misc Attack,10.47.43.10,2018-03-24 15:57:48.717651-06:00,2018-03-24 15:57:48.717651-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,25.0,low
